City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,isangel,-19.55,169.2667,68.14,62,0,12.71,VU,1722765090
325,san jose de jachal,-30.2406,-68.7469,43.05,25,1,3.24,AR,1722765091
326,tangalle,6.024,80.7911,95.16,64,61,17.74,LK,1722765092
327,tura,25.5198,90.2201,83.66,83,64,6.53,IN,1722765093
328,darien,41.752,-87.974,71.46,86,0,5.75,US,1722765095
329,sola,-13.8833,167.55,75.87,88,75,11.5,VU,1722765096
330,rodolfo sanchez taboada,31.7167,-116.5667,65.1,76,5,3.0,MX,1722765099
331,nema,57.5067,50.5011,75.49,53,56,8.84,RU,1722765100
332,kolosovka,56.4678,73.611,78.64,53,47,6.67,RU,1722765101
333,antsiranana,-12.2787,49.2917,86.76,30,20,11.5,MG,1722765102
334,klyuchi,52.2667,79.1667,85.91,26,71,9.71,RU,1722765103
335,petrozavodsk,61.7849,34.3469,62.06,82,75,8.95,RU,1722765105
336,argo,37.6333,22.7333,86.79,22,3,8.21,GR,1722765106
337,hancheng,32.5186,112.3522,92.93,72,95,3.22,CN,1722765107
338,pionerskiy,54.9508,20.2275,71.44,72,96,9.28,RU,1722765108
339,baganga,7.5739,126.56,82.08,88,80,6.67,PH,1722765110
340,khadan khak,30.7477,67.7085,79.92,55,100,9.33,PK,1722765111
341,tobelo,1.7284,128.0095,80.78,81,82,3.22,ID,1722765027
342,lazaro cardenas,17.9583,-102.2,76.23,86,97,5.82,MX,1722765113
343,jajpur,20.85,86.3333,95.18,46,97,9.53,IN,1722765115
344,nemuro,43.3236,145.575,64.47,95,100,7.18,JP,1722765116
345,belmonte,-15.8631,-38.8828,71.24,88,43,5.57,BR,1722765117
346,peace river,56.2501,-117.286,53.91,87,100,2.3,CA,1722765118
347,tolanaro,-25.0319,46.9987,78.87,57,20,11.5,MG,1722765120
348,san kamphaeng,18.7449,99.1195,89.62,62,40,4.61,TH,1722765121
349,angaur state,6.906,134.13,84.42,74,100,10.98,PW,1722765122
350,sao marcos,-28.9711,-51.0681,62.2,82,94,2.37,BR,1722765124
351,nouadhibou,20.931,-17.0347,78.78,89,100,10.36,MR,1722765125
352,viisoara,46.55,23.9167,67.6,81,100,7.05,RO,1722765126
353,adrar,20.5022,-10.0711,90.28,48,27,13.38,MR,1722765128
354,karkira,36.9292,6.5856,88.39,40,0,9.28,DZ,1722765129
355,port moresby,-9.4431,147.1797,78.22,78,40,17.27,PG,1722765130
356,kuqa,41.7278,82.9364,81.9,39,100,13.67,CN,1722765132
357,glace bay,46.1969,-59.957,72.9,95,75,5.75,CA,1722765133
358,lawton,34.6087,-98.3903,75.11,65,46,1.99,US,1722765134
359,moron,-34.6534,-58.6198,53.96,68,74,24.0,AR,1722765135
360,salinopolis,-0.6136,-47.3561,78.69,82,2,10.74,BR,1722765137
361,pisco,-13.7,-76.2167,59.05,88,100,1.14,PE,1722765138
362,thal,35.4791,72.2439,68.32,79,100,4.79,PK,1722765140
